Artist,Danceability,Energy,Acousticness,Liveness,Loudness
Taylor Swift,0.621,0.574,0.301,0.122,-8.669
Drake,0.586,0.6,0.083,0.314,-7.145
Bad Bunny,0.763,0.707,0.176,0.234,-4.699
Travis Scott,0.673,0.653,0.191,0.149,-5.121
Kanye West,0.618,0.629,0.156,0.298,-6.017
The Weeknd,0.655,0.608,0.153,0.216,-7.132
Zach Bryan,0.523,0.39,0.594,0.139,-8.629
Morgan Wallen,0.619,0.7,0.361,0.195,-5.401
21 Savage,0.835,0.641,0.075,0.165,-6.817
Future,0.726,0.563,0.141,0.131,-6.0
SZA,0.56,0.592,0.356,0.228,-6.585
Peso Pluma,0.716,0.73,0.341,0.126,-5.952
$uicideboy$,0.806,0.671,0.171,0.221,-6.112
Kendrick Lamar,0.723,0.602,0.066,0.151,-6.399
Juice WRLD,0.623,0.649,0.133,0.19,-6.178
Lil Baby,0.852,0.507,0.073,0.163,-7.108
